rank,word,count,zipf
583,möglichkeit,79,46057
584,bedeutet,79,46136
585,vermutlich,79,46215
586,unterschiedlichen,79,46294
587,indigo,79,46373
588,vereinigten,78,45864
589,verfahren,78,45942
590,genutzt,78,46020
591,bildung,78,46098
592,reich,78,46176
593,gattungen,78,46254
594,indiens,78,46332
595,tage,77,45815
596,raum,77,45892
597,gesellschaft,77,45969
598,laut,77,46046
599,titel,77,46123
600,freie,77,46200
601,öffentlichen,77,46277
602,besitzt,77,46354
603,wohl,77,46431
604,würde,77,46508
605,version,77,46585
606,haus,76,46056
607,keinen,76,46132
608,truppen,76,46208
609,gleichzeitig,76,46284
610,kurz,76,46360
611,zentrum,76,46436
612,funktion,76,46512
613,frage,76,46588
614,internet,76,46664
615,unterschiedliche,76,46740
616,laufe,76,46816
617,zeigen,75,46275
618,späteren,75,46350
619,weitgehend,75,46425
620,buch,75,46500
621,jungen,75,46575
622,new,75,46650
623,knapp,75,46725
624,mhz,75,46800
625,frei,74,46250
626,nimmt,74,46324
627,vertreter,74,46398
628,paul,74,46472
629,paris,74,46546
630,bestand,74,46620
631,heiligen,74,46694
632,spricht,74,46768
633,verbreitung,74,46842
634,wirtschaft,74,46916
635,bestimmten,73,46355
636,eingesetzt,73,46428
637,werke,73,46501
638,seiten,73,46574
639,gesamten,73,46647
640,ausnahme,73,46720
641,hingegen,73,46793
642,modernen,73,46866
643,blüten,73,46939
644,hindenburg,73,47012
645,ähnlich,72,46440
646,früher,72,46512
647,milliarden,72,46584
648,enthalten,72,46656
649,tradition,72,46728
650,manchen,72,46800
651,international,72,46872
652,programm,72,46944
653,gebäude,72,47016
654,danach,71,46434
655,darin,71,46505
656,amerikanischen,71,46576
657,machte,71,46647
658,wahl,71,46718
659,schrieb,71,46789
660,gebildet,71,46860
661,england,71,46931
662,tiere,71,47002
663,leicht,71,47073
664,genannten,71,47144
665,mio,71,47215
666,gegründet,71,47286
667,welches,70,46690
668,einzige,70,46760
669,alte,70,46830
670,zählen,70,46900
671,c,70,46970
672,dritten,70,47040
673,schilddrüse,70,47110
674,daten,69,46506
675,wodurch,69,46575
676,gelang,69,46644
677,zumindest,69,46713
678,alter,69,46782
679,beziehungsweise,69,46851
680,entspricht,69,46920
681,wirkung,69,46989
682,zeitpunkt,69,47058
683,sinne,69,47127
684,klassischen,69,47196
685,einsatz,69,47265
686,gemeinden,69,47334
687,zahlen,69,47403
688,bremerhaven,69,47472
689,langen,68,46852
690,nahe,68,46920
